Are you a University Student?,Study Program ,Year ,Do you use any kind of social media?,How many social media do you use?,Do you think social media made human life easier?,"Do you think social media like ( Zoom, Google classroom, Google meet, Skype ) made our work life more easier during the covid-19 pandemic situation?",Best social media for video conference?,How Many hours do you spent on social media ?,Do you think social media like (Tiktok and like) should be banned in India?,"How many times do you look at social media
NO,,,YES,1-5,AGREE,AGREE,GOOGLE,1-3,YES,1-3,COMMUNICATION,CYBERBULLYING,CHATTING,YES,YES,YES,MAYBE,SOMEWHAT AGREE,AGREE,YES,YES,MAYBE,RESPONSIVE,SOMEWHAT FRIENDLY,YES,YES,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,Instagram,YES,YES
YES,BBA FT,2nd,YES,1-5,AGREE,AGREE,GOOGLE,1-3,YES,1-3,COMMUNICATION,TIME CONSUMING,CHATTING,MAYBE,YES,NEUTRAL,NO,NEITHER,AGREE,YES,YES,MAYBE,RESPONSIVE,FRIENDLY,NO,MAYBE,EXCELLENT,AVERAGE,POOR,EXCELLENT,EXCELLENT,EXCELLENT,Linkedin,NEUTRAL,YES
YES,BBA (foreign trade),2nd,YES,1-5,SOMEWHAT AGREE,AGREE,GOOGLE,1-3,NEITHER,1-3,COMMUNICATION,CYBERBULLYING,CHATTING,YES,MAYBE,MAYBE,NEUTRAL,AGREE,AGREE,NEUTRAL,YES,NEUTRAL,RESPONSIVE,SOMEWHAT FRIENDLY,MAYBE,YES,AVERAGE,EXCELLENT,AVERAGE,EXCELLENT,EXCELLENT,AVERAGE,Instagram,NO,YES
YES,BBA,2,YES,1-5,NEITHER,AGREE,ZOOM,1-3,NO,10+,REMOTE WORKING,LAZINNESS,OTHERS,MAYBE,YES,MAYBE,YES,SOMEWHAT AGREE,AGREE,YES,YES,NEUTRAL,RESPONSIVE,FRIENDLY,NO,NEUTRAL,AVERAGE,EXCELLENT,AVERAGE,EXCELLENT,EXCELLENT,AVERAGE,Instagram,YES,YES
YES,BBA F-T ,2 nd,YES,1-5,SOMEWHAT AGREE,AGREE,GOOGLE,4-6,YES,10+,COMMUNICATION,TIME CONSUMING,CHATTING,MAYBE,YES,NO,NO,SOMEWHAT AGREE,SOMEWHAT AGREE,NEUTRAL,NEUTRAL,MAYBE,NEUTRAL,NEUTRAL,NO,NO,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,Instagram,NO,MAYBE
NO,BBA -LM,19-22,YES,1-5,AGREE,AGREE,ZOOM,1-3,YES,1-3,COMMUNICATION,TIME CONSUMING,CHATTING,YES,MAYBE,YES,YES,DISAGREE,AGREE,YES,YES,NO,RESPONSIVE,FRIENDLY,NO,MAYBE,EXCELLENT,AVERAGE,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,Instagram,NO,YES
YES,BA Public Policy and Administration ,2nd year ,YES,1-5,AGREE,AGREE,GOOGLE,1-3,YES,10+,COMMUNICATION,TIME CONSUMING,CHATTING,MAYBE,MAYBE,MAYBE,YES,NEITHER,AGREE,MAYBE,NEUTRAL,NO,RESPONSIVE,SOMEWHAT FRIENDLY,NO,MAYBE,AVERAGE,EXCELLENT,AVERAGE,AVERAGE,AVERAGE,POOR,Instagram,YES,YES
YES,BA PPA,2,YES,1-5,DISAGREE,AGREE,ZOOM,1-3,YES,1-3,ONLINE CLASS,CYBERBULLYING,FOR STUDY,YES,YES,YES,YES,AGREE,AGREE,YES,YES,YES,RESPONSIVE,FRIENDLY,YES,YES,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,Instagram,YES,YES
YES,Bba,2nd,YES,6-9,AGREE,AGREE,ZOOM,4-6,YES,10+,COMMUNICATION,CYBERBULLYING,OTHERS,YES,MAYBE,YES,YES,SOMEWHAT AGREE,AGREE,NO,YES,NO,SOMEWHAT RESPONSIVE,SOMEWHAT FRIENDLY,YES,YES,EXCELLENT,AVERAGE,VERY POOR,EXCELLENT,POOR,AVERAGE,Instagram,NEUTRAL,MAYBE
YES,BA public policy and administration,2,YES,1-5,SOMEWHAT AGREE,SOMEWHAT AGREE,ZOOM,1-3,YES,1-3,OTHERS,TIME CONSUMING,OTHERS,NO,NO,NO,YES,DISAGREE,SOMEWHAT AGREE,NO,YES,NO,SOMEWHAT RESPONSIVE,NEUTRAL,NO,NO,AVERAGE,AVERAGE,POOR,AVERAGE,AVERAGE,AVERAGE,Instagram,NO,NO
YES,BA- Public Policy and Administration ,III,YES,1-5,SOMEWHAT AGREE,NEITHER,GOOGLE,1-3,YES,1-3,COMMUNICATION,TIME CONSUMING,OTHERS,NEUTRAL,YES,YES,YES,DISAGREE,AGREE,YES,YES,NO,SOMEWHAT RESPONSIVE,FRIENDLY,NO,MAYBE,EXCELLENT,AVERAGE,AVERAGE,AVERAGE,EXCELLENT,AVERAGE,Twitter,NO,NEUTRAL
YES,BBA ft ,2,YES,1-5,SOMEWHAT AGREE,AGREE,GOOGLE,1-3,NO,4-9,COMMUNICATION,CYBERBULLYING,CHATTING,YES,MAYBE,NEUTRAL,YES,SOMEWHAT AGREE,AGREE,YES,YES,NO,SOMEWHAT RESPONSIVE,FRIENDLY,NO,NEUTRAL,EXCELLENT,AVERAGE,AVERAGE,EXCELLENT,EXCELLENT,EXCELLENT,Instagram,YES,NEUTRAL
YES,BA(Public policy and Administration),2nd,YES,1-5,SOMEWHAT AGREE,AGREE,GOOGLE,1-3,YES,4-9,COMMUNICATION,TIME CONSUMING,CHATTING,MAYBE,YES,MAYBE,YES,DISAGREE,AGREE,YES,YES,NO,RESPONSIVE,FRIENDLY,MAYBE,MAYBE,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,AVERAGE,EXCELLENT,Linkedin,YES,YES
YES,Bsc ,1996,YES,1-5,AGREE,AGREE,GOOGLE,1-3,YES,1-3,ONLINE CLASS,CYBERBULLYING,OTHERS,YES,MAYBE,MAYBE,YES,SOMEWHAT AGREE,SOMEWHAT AGREE,YES,NO,NO,SOMEWHAT RESPONSIVE,FRIENDLY,MAYBE,MAYBE,EXCELLENT,EXCELLENT,AVERAGE,EXCELLENT,AVERAGE,AVERAGE,Instagram,NO,YES
YES,BBA Core,2nd,YES,1-5,AGREE,AGREE,TEAM,1-3,YES,10+,ONLINE CLASS,TIME CONSUMING,OTHERS,YES,YES,YES,YES,SOMEWHAT AGREE,AGREE,YES,YES,NEUTRAL,RESPONSIVE,FRIENDLY,MAYBE,YES,EXCELLENT,POOR,AVERAGE,EXCELLENT,EXCELLENT,,Instagram,YES,YES
YES,BA Public Policy and administration,2nd year,YES,1-5,AGREE,SOMEWHAT AGREE,GOOGLE,1-3,YES,1-3,COMMUNICATION,TIME CONSUMING,FOR STUDY,MAYBE,MAYBE,MAYBE,YES,DISAGREE,AGREE,YES,MAYBE,NO,SOMEWHAT RESPONSIVE,SOMEWHAT FRIENDLY,NO,MAYBE,AVERAGE,POOR,POOR,AVERAGE,AVERAGE,AVERAGE,Linkedin,MAYBE,YES
YES,B. Com hons,2nd,YES,6-9,AGREE,AGREE,GOOGLE,4-6,YES,4-9,COMMUNICATION,CYBERBULLYING,WRITING BLOG,YES,YES,YES,YES,AGREE,AGREE,YES,YES,NO,RESPONSIVE,FRIENDLY,YES,YES,POOR,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,Instagram,YES,YES
NO,,,YES,1-5,SOMEWHAT AGREE,AGREE,ZOOM,1-3,YES,1-3,COMMUNICATION,TIME CONSUMING,OTHERS,MAYBE,MAYBE,MAYBE,YES,AGREE,AGREE,YES,YES,NO,NEUTRAL,NEUTRAL,MAYBE,YES,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,Linkedin,MAYBE,NEUTRAL
YES,Integrated bcom and mba,1,YES,1-5,SOMEWHAT AGREE,AGREE,GOOGLE,1-3,NEITHER,4-9,ONLINE CLASS,LAZINNESS,FOR STUDY,MAYBE,NEUTRAL,YES,YES,SOMEWHAT AGREE,SOMEWHAT AGREE,YES,YES,NO,SOMEWHAT RESPONSIVE,NEUTRAL,NEUTRAL,MAYBE,EXCELLENT,EXCELLENT,AVERAGE,POOR,AVERAGE,EXCELLENT,Instagram,NO,YES
YES,Bba foreign trade ,Third ,YES,1-5,SOMEWHAT AGREE,AGREE,GOOGLE,4-6,NO,10+,OTHERS,TIME CONSUMING,OTHERS,YES,YES,YES,MAYBE,SOMEWHAT AGREE,SOMEWHAT AGREE,MAYBE,MAYBE,NO,SOMEWHAT RESPONSIVE,SOMEWHAT FRIENDLY,NEUTRAL,YES,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,Instagram,MAYBE,MAYBE
YES,Ba PPA,2,YES,1-5,AGREE,AGREE,ZOOM,1-3,YES,1-3,COMMUNICATION,CYBERBULLYING,FOR STUDY,YES,YES,YES,MAYBE,AGREE,AGREE,YES,YES,MAYBE,NEUTRAL,FRIENDLY,YES,YES,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,Instagram,MAYBE,YES
YES,MBA,2,YES,1-5,SOMEWHAT AGREE,AGREE,ZOOM,4-6,YES,1-3,COMMUNICATION,CYBERBULLYING,CHATTING,YES,MAYBE,MAYBE,YES,NEITHER,SOMEWHAT AGREE,YES,MAYBE,NO,NEUTRAL,SOMEWHAT FRIENDLY,MAYBE,NO,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,Instagram,YES,MAYBE
YES,BBA MBA Integrated ,2nd ,YES,1-5,AGREE,AGREE,TEAM,1-3,YES,10+,COMMUNICATION,CYBERBULLYING,OTHERS,YES,YES,YES,YES,AGREE,AGREE,YES,YES,MAYBE,,,,,EXCELLENT,EXCELLENT,POOR,AVERAGE,EXCELLENT,EXCELLENT,Instagram,YES,YES
NO,,,YES,1-5,NEITHER,AGREE,GOOGLE,1-3,NEITHER,10+,COMMUNICATION,OTHERS,OTHERS,NEUTRAL,MAYBE,NO,NO,,,,,,,,,,,,,,,,,,
YES,Bcom honors,2,YES,6-9,SOMEWHAT AGREE,AGREE,GOOGLE,1-3,NEITHER,4-9,COMMUNICATION,CYBERBULLYING,OTHERS,YES,MAYBE,MAYBE,YES,SOMEWHAT AGREE,SOMEWHAT AGREE,YES,YES,NO,SOMEWHAT RESPONSIVE,FRIENDLY,MAYBE,MAYBE,EXCELLENT,EXCELLENT,AVERAGE,EXCELLENT,AVERAGE,AVERAGE,Instagram,MAYBE,MAYBE
YES,Bba foreign trade,2nf,YES,1-5,SOMEWHAT AGREE,SOMEWHAT AGREE,ZOOM,1-3,NEITHER,10+,COMMUNICATION,LAZINNESS,OTHERS,YES,MAYBE,NEUTRAL,YES,NEITHER,AGREE,YES,YES,YES,RESPONSIVE,FRIENDLY,NO,NO,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,Instagram,YES,MAYBE
YES,BBA,2,YES,1-5,AGREE,AGREE,ZOOM,1-3,YES,1-3,COMMUNICATION,TIME CONSUMING,OTHERS,MAYBE,NEUTRAL,MAYBE,NO,SOMEWHAT AGREE,AGREE,YES,YES,YES,RESPONSIVE,FRIENDLY,MAYBE,NO,EXCELLENT,EXCELLENT,AVERAGE,EXCELLENT,EXCELLENT,EXCELLENT,Instagram,YES,YES
YES,BBA ,2nd,YES,6-9,SOMEWHAT AGREE,AGREE,ZOOM,4-6,NEITHER,10+,COMMUNICATION,LAZINNESS,CHATTING,YES,MAYBE,YES,YES,SOMEWHAT AGREE,AGREE,YES,YES,NO,NEUTRAL,SOMEWHAT FRIENDLY,NO,MAYBE,AVERAGE,POOR,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,Instagram,NO,MAYBE
NO,bba ,graduated,YES,1-5,SOMEWHAT AGREE,AGREE,ZOOM,1-3,YES,10+,OTHERS,OTHERS,OTHERS,NEUTRAL,YES,MAYBE,YES,,,NEUTRAL,YES,NO,SOMEWHAT RESPONSIVE,NEUTRAL,YES,MAYBE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,Instagram,YES,MAYBE
YES,MBA Power Management ,2021-23,YES,10+,SOMEWHAT AGREE,SOMEWHAT AGREE,GOOGLE,4-6,YES,4-9,COMMUNICATION,LAZINNESS,OTHERS,MAYBE,YES,MAYBE,YES,SOMEWHAT AGREE,SOMEWHAT AGREE,MAYBE,MAYBE,NO,RESPONSIVE,SOMEWHAT FRIENDLY,MAYBE,MAYBE,AVERAGE,AVERAGE,AVERAGE,EXCELLENT,EXCELLENT,AVERAGE,Linkedin,MAYBE,MAYBE
YES,BBA FT ,3,YES,1-5,SOMEWHAT AGREE,SOMEWHAT AGREE,GOOGLE,4-6,NEITHER,4-9,REMOTE WORKING,CYBERBULLYING,CHATTING,MAYBE,YES,YES,YES,NEITHER,SOMEWHAT AGREE,NO,NO,NO,SOMEWHAT RESPONSIVE,NEUTRAL,NO,NEUTRAL,EXCELLENT,AVERAGE,AVERAGE,EXCELLENT,EXCELLENT,EXCELLENT,Linkedin,YES,NO
YES,BBA core,2nd,YES,1-5,SOMEWHAT AGREE,AGREE,ZOOM,1-3,YES,1-3,COMMUNICATION,TIME CONSUMING,WRITING BLOG,NEUTRAL,YES,YES,NO,AGREE,AGREE,YES,YES,MAYBE,NEUTRAL,NEUTRAL,MAYBE,MAYBE,AVERAGE,EXCELLENT,AVERAGE,AVERAGE,AVERAGE,POOR,Instagram,YES,YES
YES,Bba ft,2,YES,1-5,AGREE,AGREE,GOOGLE,1-3,YES,10+,COMMUNICATION,LAZINNESS,OTHERS,NO,MAYBE,MAYBE,NO,DISAGREE,AGREE,YES,YES,NEUTRAL,RESPONSIVE,SOMEWHAT FRIENDLY,YES,MAYBE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,Instagram,YES,YES
YES,BBA Foreign Trade ,2nd,YES,1-5,NEITHER,AGREE,TEAM,1-3,NEITHER,4-9,COMMUNICATION,TIME CONSUMING,OTHERS,MAYBE,NO,MAYBE,NO,AGREE,AGREE,YES,NO,NEUTRAL,SOMEWHAT RESPONSIVE,FRIENDLY,YES,YES,AVERAGE,EXCELLENT,AVERAGE,EXCELLENT,EXCELLENT,POOR,Instagram,YES,MAYBE
YES,BBA FT,2nd year,YES,1-5,SOMEWHAT AGREE,AGREE,ZOOM,4-6,NEITHER,4-9,COMMUNICATION,CYBERBULLYING,CHATTING,YES,YES,YES,NO,AGREE,AGREE,YES,YES,NO,RESPONSIVE,NEUTRAL,YES,MAYBE,EXCELLENT,EXCELLENT,AVERAGE,EXCELLENT,EXCELLENT,EXCELLENT,Instagram,YES,YES
YES,BBA FT ,2nd,YES,1-5,SOMEWHAT AGREE,AGREE,ZOOM,1-3,NEITHER,1-3,COMMUNICATION,OTHERS,CHATTING,YES,NEUTRAL,NEUTRAL,NEUTRAL,SOMEWHAT AGREE,SOMEWHAT AGREE,,,,,,,,,,,,,,,,
YES,BBA Foreign trade,2,YES,1-5,DISAGREE,AGREE,GOOGLE,1-3,NEITHER,1-3,OTHERS,OTHERS,OTHERS,NEUTRAL,NO,NO,NO,DISAGREE,AGREE,YES,NEUTRAL,NO,NEUTRAL,FRIENDLY,YES,NO,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,Twitter,NO,NEUTRAL
YES,BBA-Ft,2,YES,1-5,SOMEWHAT AGREE,AGREE,TEAM,4-6,YES,4-9,COMMUNICATION,CYBERBULLYING,FOR STUDY,YES,YES,YES,YES,AGREE,AGREE,YES,YES,MAYBE,RESPONSIVE,FRIENDLY,YES,YES,EXCELLENT,AVERAGE,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,Instagram,YES,YES
YES,BBA,2022,YES,1-5,AGREE,AGREE,GOOGLE,1-3,YES,1-3,COMMUNICATION,OTHERS,CHATTING,MAYBE,NEUTRAL,MAYBE,MAYBE,SOMEWHAT AGREE,AGREE,YES,YES,MAYBE,SOMEWHAT RESPONSIVE,FRIENDLY,YES,NO,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,Instagram,YES,YES
YES,BBA LLB,5th year,YES,1-5,AGREE,AGREE,ZOOM,1-3,YES,4-9,COMMUNICATION,TIME CONSUMING,CHATTING,YES,MAYBE,MAYBE,MAYBE,NEITHER,AGREE,MAYBE,MAYBE,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,Instagram,MAYBE,MAYBE
YES,Btech,4,YES,6-9,SOMEWHAT AGREE,DISAGREE,GOOGLE,4-6,NO,4-9,ONLINE CLASS,LAZINNESS,FOR STUDY,MAYBE,MAYBE,MAYBE,NO,DISAGREE,DISAGREE,NO,YES,YES,RESPONSIVE,SOMEWHAT FRIENDLY,YES,MAYBE,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,Facebook,YES,NO
YES,Mba,1,YES,1-5,AGREE,AGREE,ZOOM,1-3,NEITHER,10+,COMMUNICATION,TIME CONSUMING,CHATTING,YES,YES,YES,MAYBE,AGREE,AGREE,YES,YES,NO,NEUTRAL,NEUTRAL,YES,YES,AVERAGE,AVERAGE,EXCELLENT,EXCELLENT,AVERAGE,EXCELLENT,Instagram,YES,YES
YES,"BA,LLB",4th year,YES,1-5,SOMEWHAT AGREE,AGREE,GOOGLE,1-3,YES,1-3,COMMUNICATION,TIME CONSUMING,FOR STUDY,NO,YES,MAYBE,YES,DISAGREE,DISAGREE,MAYBE,MAYBE,NO,RESPONSIVE,FRIENDLY,NO,MAYBE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,Instagram,YES,NO
YES,BBA(FT),2nd,YES,1-5,NEITHER,AGREE,ZOOM,1-3,YES,4-9,COMMUNICATION,TIME CONSUMING,CHATTING,MAYBE,MAYBE,NEUTRAL,NEUTRAL,SOMEWHAT AGREE,SOMEWHAT AGREE,MAYBE,MAYBE,NEUTRAL,NEUTRAL,SOMEWHAT FRIENDLY,NO,NEUTRAL,EXCELLENT,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,Instagram,NEUTRAL,MAYBE
YES,BBA Foreign Trade ,2nd,YES,1-5,SOMEWHAT AGREE,AGREE,ZOOM,4-6,YES,4-9,OTHERS,CYBERBULLYING,OTHERS,MAYBE,MAYBE,YES,YES,SOMEWHAT AGREE,SOMEWHAT AGREE,YES,YES,NO,NOT RESPONSIVE,SOMEWHAT FRIENDLY,NO,MAYBE,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,Instagram,MAYBE,YES
YES,Bba ft,2,YES,1-5,AGREE,AGREE,GOOGLE,4-6,YES,4-9,ONLINE CLASS,TIME CONSUMING,CHATTING,NO,MAYBE,YES,YES,DISAGREE,AGREE,YES,YES,,RESPONSIVE,FRIENDLY,YES,YES,EXCELLENT,AVERAGE,POOR,AVERAGE,EXCELLENT,AVERAGE,Linkedin,YES,NO
YES,foreign trade ,2024,YES,10+,AGREE,AGREE,ZOOM,7+,YES,10+,OTHERS,TIME CONSUMING,OTHERS,NO,YES,NO,NO,AGREE,AGREE,YES,YES,YES,RESPONSIVE,FRIENDLY,YES,YES,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,Instagram,YES,YES
YES,BBA-FOREIGN TRADE,2nd,YES,10+,SOMEWHAT AGREE,NEITHER,GOOGLE,1-3,YES,4-9,COMMUNICATION,LAZINNESS,OTHERS,MAYBE,NO,NO,YES,DISAGREE,AGREE,YES,NEUTRAL,NO,SOMEWHAT RESPONSIVE,SOMEWHAT FRIENDLY,NO,YES,AVERAGE,POOR,AVERAGE,AVERAGE,AVERAGE,AVERAGE,Other,NO,MAYBE
YES,Bba foreign trade,2021-24,YES,1-5,AGREE,AGREE,GOOGLE,1-3,NEITHER,10+,COMMUNICATION,LAZINNESS,CHATTING,NEUTRAL,MAYBE,NO,NO,NEITHER,AGREE,YES,YES,NEUTRAL,RESPONSIVE,FRIENDLY,NO,NO,AVERAGE,AVERAGE,AVERAGE,AVERAGE,,,Linkedin,NO,NEUTRAL
YES,BBA-FT ,2,YES,1-5,SOMEWHAT AGREE,AGREE,GOOGLE,4-6,NO,4-9,COMMUNICATION,LAZINNESS,CHATTING,MAYBE,NEUTRAL,NEUTRAL,YES,NEITHER,AGREE,NEUTRAL,NEUTRAL,NEUTRAL,NOT RESPONSIVE,FRIENDLY,NO,NEUTRAL,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,AVERAGE,Linkedin,YES,YES
YES,B.Com(Hons.),2nd,YES,1-5,AGREE,AGREE,GOOGLE,1-3,NEITHER,4-9,COMMUNICATION,TIME CONSUMING,OTHERS,YES,YES,YES,MAYBE,AGREE,AGREE,YES,YES,MAYBE,RESPONSIVE,FRIENDLY,YES,YES,AVERAGE,EXCELLENT,AVERAGE,AVERAGE,EXCELLENT,AVERAGE,Instagram,YES,YES
YES,BBA FOREIGN TRADE ,2,YES,6-9,SOMEWHAT AGREE,AGREE,GOOGLE,1-3,NO,4-9,ONLINE CLASS,TIME CONSUMING,OTHERS,MAYBE,MAYBE,MAYBE,MAYBE,SOMEWHAT AGREE,AGREE,YES,YES,MAYBE,RESPONSIVE,SOMEWHAT FRIENDLY,MAYBE,MAYBE,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,EXCELLENT,Linkedin,YES,MAYBE
YES,BBA Ft,2,YES,1-5,AGREE,AGREE,ZOOM,1-3,YES,10+,COMMUNICATION,LAZINNESS,OTHERS,NO,MAYBE,YES,NEUTRAL,NEITHER,AGREE,YES,YES,YES,RESPONSIVE,NEUTRAL,NO,MAYBE,AVERAGE,EXCELLENT,AVERAGE,EXCELLENT,EXCELLENT,AVERAGE,Instagram,NEUTRAL,NEUTRAL
YES,Bsc H chemistry ,3,YES,1-5,SOMEWHAT AGREE,AGREE,SKYPE,4-6,YES,4-9,COMMUNICATION,TIME CONSUMING,CHATTING,MAYBE,MAYBE,MAYBE,YES,SOMEWHAT AGREE,AGREE,YES,MAYBE,NO,SOMEWHAT RESPONSIVE,SOMEWHAT FRIENDLY,NO,NO,AVERAGE,AVERAGE,POOR,AVERAGE,AVERAGE,AVERAGE,Other,MAYBE,YES
YES,BA (Mass Communication),3,YES,1-5,AGREE,AGREE,GOOGLE,1-3,YES,10+,COMMUNICATION,TIME CONSUMING,CHATTING,YES,YES,NO,YES,DISAGREE,AGREE,MAYBE,MAYBE,NO,RESPONSIVE,FRIENDLY,NO,NO,AVERAGE,POOR,VERY POOR,EXCELLENT,EXCELLENT,AVERAGE,Instagram,YES,YES
YES,BA  Liberal Arts,3rd year,YES,1-5,NEITHER,AGREE,GOOGLE,4-6,NO,10+,COMMUNICATION,TIME CONSUMING,CHATTING,MAYBE,NO,NEUTRAL,YES,DISAGREE,AGREE,NEUTRAL,MAYBE,NO,RESPONSIVE,SOMEWHAT FRIENDLY,MAYBE,YES,EXCELLENT,AVERAGE,AVERAGE,EXCELLENT,EXCELLENT,EXCELLENT,Twitter,YES,MAYBE
